,23427104,23425034,163882,129775774
AeAe_105,5.0,3.0,4.0,3.0
AeAe_31,3.0,2.0,1.0,2.0
AeAe_93,4.0,3.0,2.0,2.0
AmTr_12,4.0,2.0,3.0,2.0
AmTr_13,5.0,3.0,4.0,4.0
AmTr_40,5.0,4.0,4.0,4.0
AmTr_52,5.0,3.0,4.0,3.0
AnGa_13,5.0,4.0,4.0,4.0
AnGa_33,4.0,2.0,3.0,3.0
ApCe_100,5.0,3.0,2.0,3.0
ApFl_113,4.0,3.0,2.0,2.0
ApMe_63,4.0,3.0,3.0,2.0
AtCo_199,4.0,3.0,2.0,3.0
BoTe_59,3.0,2.0,1.0,2.0
BoTe_73,3.0,2.0,2.0,2.0
CaFl_172,4.0,3.0,3.0,3.0
CaFl_302,5.0,3.0,3.0,3.0
CaFl_308,3.0,2.0,1.0,2.0
CeCa_58,5.0,3.0,3.0,3.0
CeSo_24,4.0,2.0,2.0,3.0
CoFl_104,5.0,3.0,2.0,4.0
CoFl_72,4.0,2.0,2.0,3.0
CyCo_148,3.0,1.0,2.0,2.0
CyCo_153,4.0,2.0,2.0,3.0
DiQu_107,4.0,3.0,3.0,3.0
AmTr_16,2.0,3.0,2.0,2.0
AmTr_50,2.0,3.0,2.0,1.0
AmTr_55,3.0,5.0,4.0,4.0
AnGa_11,2.0,4.0,3.0,3.0
AnGa_58,2.0,3.0,2.0,2.0
CiLe_26,1.0,2.0,1.0,1.0
CoFl_99,2.0,3.0,2.0,2.0
CyCo_104,2.0,4.0,3.0,2.0
CyCo_119,1.0,3.0,2.0,2.0
CyCo_200,1.0,3.0,2.0,2.0
DrBi_44,2.0,3.0,2.0,2.0
DrBi_49,2.0,4.0,2.0,2.0
DrBu_13,3.0,5.0,4.0,3.0
DrBu_21,2.0,4.0,2.0,3.0
DrBu_43,2.0,3.0,1.0,2.0
DrEl_33,1.0,3.0,2.0,2.0
DrEr_24,1.0,4.0,2.0,2.0
DrPe_12,2.0,3.0,2.0,2.0
DrVi_11,2.0,5.0,4.0,3.0
DrVi_44,1.0,3.0,2.0,1.0
DuNo_23,2.0,3.0,1.0,2.0
HaSa_110,1.0,3.0,2.0,1.0
HeAr_35,1.0,3.0,2.0,2.0
LiHu_95,1.0,2.0,1.0,1.0
MeRo_105,2.0,3.0,2.0,2.0
AcEc_199,3.0,3.0,4.0,3.0
AeAe_32,1.0,2.0,3.0,2.0
AeAe_37,1.0,3.0,4.0,2.0
AeAe_41,2.0,3.0,4.0,2.0
AeAe_61,1.0,2.0,3.0,2.0
AeAe_62,4.0,3.0,5.0,4.0
AeAe_70,1.0,1.0,3.0,1.0
AeAe_79,1.0,2.0,3.0,1.0
AmTr_18,3.0,2.0,4.0,3.0
AmTr_23,1.0,3.0,4.0,2.0
AmTr_31,2.0,3.0,5.0,3.0
AnGa_12,4.0,4.0,5.0,4.0
AnGa_24,2.0,1.0,3.0,1.0
AnGa_41,2.0,2.0,3.0,2.0
AnGa_45,1.0,2.0,3.0,2.0
AnGa_46,1.0,2.0,3.0,2.0
AnGa_48,1.0,2.0,3.0,2.0
AnGa_49,1.0,2.0,3.0,2.0
AnGa_8,1.0,2.0,4.0,2.0
ApCe_119,2.0,2.0,3.0,2.0
ApCe_46,2.0,2.0,3.0,2.0
ApCe_47,2.0,1.0,3.0,2.0
ApCe_54,3.0,3.0,5.0,3.0
ApCe_63,2.0,3.0,5.0,2.0
ApCe_74,3.0,3.0,4.0,2.0
AeAe_18,1.0,1.0,2.0,3.0
AmTr_54,3.0,2.0,3.0,4.0
ApCe_60,2.0,2.0,2.0,3.0
ApFl_75,3.0,3.0,3.0,4.0
BaDo_38,2.0,2.0,2.0,3.0
BoTe_74,2.0,2.0,2.0,3.0
BoTe_77,2.0,2.0,2.0,3.0
CaFl_166,3.0,1.0,1.0,4.0
CaFl_324,2.0,2.0,1.0,3.0
CoFl_93,2.0,2.0,1.0,3.0
CyCo_176,2.0,1.0,1.0,3.0
DiQu_161,2.0,2.0,2.0,3.0
DrBu_40,3.0,3.0,2.0,4.0
DrBu_44,2.0,2.0,2.0,3.0
DrEl_60,2.0,2.0,2.0,3.0
DuNo_20,1.0,2.0,2.0,3.0
HaLa_59,3.0,2.0,3.0,4.0
MoPh_105,3.0,3.0,3.0,4.0
OoBi_162,2.0,1.0,2.0,3.0
PaXu_55,2.0,1.0,1.0,3.0
TrCa_127,2.0,2.0,2.0,3.0
TrNi_55,2.0,2.0,2.0,3.0
TrNi_56,3.0,3.0,3.0,4.0
TrSe_143,3.0,3.0,2.0,4.0
TrZe_153,2.0,2.0,2.0,3.0
