,23427104,23425034,163882,129775774
AeAe_105,95.0,70.0,74.0,58.0
AeAe_31,56.0,44.0,39.0,46.0
AeAe_93,75.0,61.0,47.0,48.0
AmTr_12,76.0,55.0,63.0,49.0
AmTr_13,89.0,66.0,75.0,83.0
AmTr_40,95.0,81.0,72.0,83.0
AmTr_52,89.0,57.0,77.0,63.0
AnGa_13,86.0,74.0,79.0,73.0
AnGa_33,71.0,54.0,63.0,60.0
ApCe_100,90.0,62.0,51.0,67.0
ApFl_113,79.0,61.0,53.0,55.0
ApMe_63,78.0,58.0,61.0,50.0
AtCo_199,75.0,65.0,54.0,60.0
BoTe_59,59.0,52.0,40.0,47.0
BoTe_73,56.0,41.0,52.0,47.0
CaFl_172,75.0,58.0,67.0,57.0
CaFl_302,94.0,60.0,62.0,60.0
CaFl_308,60.0,46.0,36.0,41.0
CeCa_58,87.0,67.0,56.0,61.0
CeSo_24,83.0,55.0,52.0,56.0
CoFl_104,100.0,63.0,48.0,78.0
CoFl_72,75.0,47.0,41.0,63.0
CyCo_148,68.0,39.0,46.0,49.0
CyCo_153,71.0,47.0,53.0,60.0
DiQu_107,71.0,69.0,60.0,63.0
AmTr_16,44.0,67.0,54.0,45.0
AmTr_50,42.0,56.0,51.0,37.0
AmTr_55,68.0,86.0,73.0,72.0
AnGa_11,48.0,71.0,66.0,56.0
AnGa_58,44.0,63.0,43.0,41.0
CiLe_26,32.0,42.0,33.0,37.0
CoFl_99,52.0,56.0,51.0,51.0
CyCo_104,52.0,76.0,70.0,45.0
CyCo_119,29.0,56.0,48.0,41.0
CyCo_200,37.0,63.0,52.0,45.0
DrBi_44,50.0,56.0,49.0,42.0
DrBi_49,50.0,75.0,45.0,46.0
DrBu_13,67.0,86.0,72.0,56.0
DrBu_21,50.0,81.0,48.0,58.0
DrBu_43,48.0,60.0,38.0,42.0
DrEl_33,36.0,58.0,48.0,54.0
DrEr_24,40.0,74.0,44.0,46.0
DrPe_12,52.0,60.0,49.0,45.0
DrVi_11,53.0,87.0,72.0,62.0
DrVi_44,37.0,56.0,44.0,40.0
DuNo_23,50.0,58.0,37.0,54.0
HaSa_110,33.0,57.0,47.0,37.0
HeAr_35,40.0,59.0,52.0,46.0
LiHu_95,33.0,51.0,40.0,38.0
MeRo_105,53.0,68.0,48.0,43.0
AcEc_199,60.0,67.0,75.0,60.0
AeAe_32,38.0,44.0,60.0,45.0
AeAe_37,26.0,61.0,73.0,45.0
AeAe_41,46.0,63.0,75.0,48.0
AeAe_61,40.0,46.0,68.0,43.0
AeAe_62,74.0,67.0,94.0,71.0
AeAe_70,31.0,40.0,56.0,38.0
AeAe_79,28.0,48.0,60.0,40.0
AmTr_18,63.0,52.0,85.0,60.0
AmTr_23,35.0,70.0,82.0,44.0
AmTr_31,55.0,60.0,90.0,65.0
AnGa_12,74.0,75.0,87.0,75.0
AnGa_24,44.0,39.0,58.0,39.0
AnGa_41,44.0,49.0,57.0,48.0
AnGa_45,40.0,46.0,61.0,48.0
AnGa_46,39.0,55.0,60.0,43.0
AnGa_48,29.0,43.0,60.0,54.0
AnGa_49,31.0,52.0,59.0,48.0
AnGa_8,38.0,51.0,71.0,50.0
ApCe_119,52.0,49.0,58.0,49.0
ApCe_46,52.0,54.0,56.0,42.0
ApCe_47,52.0,39.0,60.0,52.0
ApCe_54,70.0,59.0,95.0,64.0
ApCe_63,43.0,60.0,86.0,52.0
ApCe_74,63.0,62.0,79.0,43.0
AeAe_18,40.0,40.0,45.0,56.0
AmTr_54,69.0,48.0,57.0,75.0
ApCe_60,54.0,44.0,41.0,56.0
ApFl_75,69.0,68.0,57.0,71.0
BaDo_38,44.0,43.0,50.0,57.0
BoTe_74,53.0,52.0,48.0,59.0
BoTe_77,49.0,46.0,47.0,62.0
CaFl_166,63.0,39.0,40.0,74.0
CaFl_324,48.0,51.0,39.0,56.0
CoFl_93,44.0,41.0,32.0,61.0
CyCo_176,47.0,40.0,37.0,64.0
DiQu_161,43.0,42.0,44.0,60.0
DrBu_40,59.0,63.0,50.0,71.0
DrBu_44,49.0,52.0,47.0,59.0
DrEl_60,47.0,43.0,48.0,63.0
DuNo_20,38.0,53.0,52.0,56.0
HaLa_59,67.0,52.0,67.0,71.0
MoPh_105,64.0,59.0,58.0,80.0
OoBi_162,54.0,40.0,44.0,60.0
PaXu_55,47.0,38.0,40.0,60.0
TrCa_127,48.0,52.0,52.0,57.0
TrNi_55,52.0,45.0,42.0,57.0
TrNi_56,64.0,62.0,66.0,78.0
TrSe_143,63.0,58.0,48.0,74.0
TrZe_153,50.0,52.0,42.0,56.0
