,23427104,23425034,163882,129775774
AeAe_105,95.0,70.0,74.0,58.0
AeAe_31,56.0,44.0,39.0,46.0
AeAe_93,75.0,61.0,47.0,48.0
AmTr_12,76.0,55.0,63.0,49.0
AmTr_13,89.0,66.0,75.0,83.0
AmTr_40,95.0,81.0,72.0,83.0
AmTr_52,89.0,57.0,77.0,63.0
AnGa_13,86.0,74.0,79.0,73.0
AnGa_33,71.0,54.0,63.0,60.0
ApCe_100,90.0,62.0,51.0,67.0
ApFl_113,79.0,61.0,53.0,55.0
ApMe_63,78.0,58.0,61.0,50.0
AtCo_199,75.0,65.0,54.0,60.0
BoTe_59,59.0,52.0,40.0,47.0
BoTe_73,56.0,41.0,52.0,47.0
CaFl_172,75.0,58.0,67.0,57.0
CaFl_302,94.0,60.0,62.0,60.0
CaFl_308,60.0,46.0,36.0,41.0
CeCa_58,87.0,67.0,56.0,61.0
CeSo_24,83.0,55.0,52.0,56.0
CoFl_104,100.0,63.0,48.0,78.0
CoFl_72,75.0,47.0,41.0,63.0
CyCo_148,68.0,39.0,46.0,49.0
CyCo_153,71.0,47.0,53.0,60.0
DiQu_107,71.0,69.0,60.0,63.0
AmTr_16,52.95,80.63,64.98,54.15
AmTr_50,50.54,67.39,61.37,44.52
AmTr_55,81.83,100.0,87.85,86.64
AnGa_11,57.76,85.44,79.42,67.39
AnGa_58,52.95,75.81,51.74,49.34
CiLe_26,38.51,50.54,39.71,44.52
CoFl_99,62.58,67.39,61.37,61.37
CyCo_104,62.58,91.46,84.24,54.15
CyCo_119,34.9,67.39,57.76,49.34
CyCo_200,44.52,75.81,62.58,54.15
DrBi_44,60.17,67.39,58.97,50.54
DrBi_49,60.17,90.25,54.15,55.35
DrBu_13,80.63,100.0,86.64,67.39
DrBu_21,60.17,97.47,57.76,69.8
DrBu_43,57.76,72.2,45.73,50.54
DrEl_33,43.32,69.8,57.76,64.98
DrEr_24,48.13,89.05,52.95,55.35
DrPe_12,62.58,72.2,58.97,54.15
DrVi_11,63.78,100.0,86.64,74.61
DrVi_44,44.52,67.39,52.95,48.13
DuNo_23,60.17,69.8,44.52,64.98
HaSa_110,39.71,68.59,56.56,44.52
HeAr_35,48.13,71.0,62.58,55.35
LiHu_95,39.71,61.37,48.13,45.73
MeRo_105,63.78,81.83,57.76,51.74
AcEc_199,66.37,74.12,82.96,66.37
AeAe_32,42.04,48.67,66.37,49.78
AeAe_37,28.76,67.48,80.75,49.78
AeAe_41,50.88,69.69,82.96,53.1
AeAe_61,44.25,50.88,75.22,47.57
AeAe_62,81.86,74.12,100.0,78.54
AeAe_70,34.29,44.25,61.95,42.04
AeAe_79,30.97,53.1,66.37,44.25
AmTr_18,69.69,57.52,94.03,66.37
AmTr_23,38.72,77.43,90.71,48.67
AmTr_31,60.84,66.37,99.56,71.9
AnGa_12,81.86,82.96,96.24,82.96
AnGa_24,48.67,43.14,64.16,43.14
AnGa_41,48.67,54.2,63.05,53.1
AnGa_45,44.25,50.88,67.48,53.1
AnGa_46,43.14,60.84,66.37,47.57
AnGa_48,32.08,47.57,66.37,59.73
AnGa_49,34.29,57.52,65.27,53.1
AnGa_8,42.04,56.42,78.54,55.31
ApCe_119,57.52,54.2,64.16,54.2
ApCe_46,57.52,59.73,61.95,46.46
ApCe_47,57.52,43.14,66.37,57.52
ApCe_54,77.43,65.27,100.0,70.8
ApCe_63,47.57,66.37,95.13,57.52
ApCe_74,69.69,68.58,87.39,47.57
AeAe_18,49.02,49.02,55.15,68.63
AmTr_54,84.56,58.82,69.85,91.91
ApCe_60,66.18,53.92,50.25,68.63
ApFl_75,84.56,83.33,69.85,87.01
BaDo_38,53.92,52.7,61.27,69.85
BoTe_74,64.95,63.73,58.82,72.3
BoTe_77,60.05,56.37,57.6,75.98
CaFl_166,77.21,47.79,49.02,90.69
CaFl_324,58.82,62.5,47.79,68.63
CoFl_93,53.92,50.25,39.22,74.75
CyCo_176,57.6,49.02,45.34,78.43
DiQu_161,52.7,51.47,53.92,73.53
DrBu_40,72.3,77.21,61.27,87.01
DrBu_44,60.05,63.73,57.6,72.3
DrEl_60,57.6,52.7,58.82,77.21
DuNo_20,46.57,64.95,63.73,68.63
HaLa_59,82.11,63.73,82.11,87.01
MoPh_105,78.43,72.3,71.08,98.04
OoBi_162,66.18,49.02,53.92,73.53
PaXu_55,57.6,46.57,49.02,73.53
TrCa_127,58.82,63.73,63.73,69.85
TrNi_55,63.73,55.15,51.47,69.85
TrNi_56,78.43,75.98,80.88,95.59
TrSe_143,77.21,71.08,58.82,90.69
TrZe_153,61.27,63.73,51.47,68.63
