pep_name,affinity_gas1,affinity_gas2,affinity_gas3,affinity_gas4
pep1,89,25,90,79
pep2,70,22,33,52
pep3,22,46,42,79
pep4,1,31,65,87
pep5,34,73,70,80
pep6,59,93,80,47
pep7,23,51,31,28
pep8,45,34,72,53
pep9,1,52,63,32
pep10,64,83,94,93
pep11,76,14,90,99
pep12,54,98,69,91
pep13,3,79,58,64
pep14,96,6,7,59
pep15,48,72,23,100
pep16,66,99,25,24
pep17,77,51,45,36
pep18,63,81,27,69
pep19,80,23,82,11
pep20,73,67,98,22
pep21,63,96,44,98
pep22,78,61,82,77
pep23,65,59,23,8
pep24,52,2,70,55
pep25,93,40,44,3
pep26,23,10,23,80
pep27,17,83,80,64
pep28,65,14,70,20
pep29,84,48,36,88
pep30,10,45,69,12
pep31,14,33,46,75
pep32,78,44,75,33
pep33,72,44,15,31
pep34,12,90,3,79
pep35,88,39,52,28
pep36,71,34,46,45
pep37,61,88,3,48
pep38,91,28,12,15
pep39,88,20,51,73
pep40,77,12,27,67
pep41,12,47,46,11
pep42,15,73,47,54
pep43,69,35,47,85
pep44,56,85,67,16
pep45,13,32,82,16
pep46,59,74,35,33
pep47,64,42,66,35
pep48,69,6,92,94
pep49,11,50,48,36
pep50,72,57,46,19
pep51,72,8,76,22
pep52,22,97,14,56
pep53,68,43,62,49
pep54,89,15,9,96
pep55,3,72,26,38
pep56,9,91,59,13
pep57,90,1,64,1
pep58,89,48,98,98
pep59,88,63,41,62
pep60,38,84,9,80
pep61,96,86,58,29
pep62,36,49,60,100
pep63,21,69,33,84
pep64,15,35,10,77
pep65,92,72,73,55
pep66,27,32,99,93
pep67,80,43,8,31
pep68,61,70,34,77
pep69,81,88,83,100
pep70,6,30,15,39
pep71,16,13,54,23
pep72,75,93,78,34
pep73,7,57,10,12
pep74,37,1,30,47
pep75,98,32,96,86
pep76,85,20,10,55
pep77,21,15,63,73
pep78,40,98,75,54
pep79,52,58,47,56
pep80,53,54,11,72
pep81,11,56,13,43
pep82,81,17,80,93
pep83,97,20,31,78
pep84,60,39,45,30
pep85,64,92,39,1
pep86,15,42,81,72
pep87,85,48,85,23
pep88,60,76,59,79
pep89,69,47,61,14
pep90,44,79,40,44
pep91,3,29,8,66
pep92,65,64,65,49
pep93,79,39,3,27
pep94,36,61,30,44
pep95,97,14,53,1
pep96,48,95,10,96
pep97,47,65,97,57
pep98,61,4,29,34
pep99,64,58,44,62
pep100,70,56,60,83
